01 				Код региона Республика Адыгея
02 102 				Код региона Республика Башкортостан
61 161 				Код региона Ростовская область
03 				Код региона Республика Бурятия
62 				Код региона Рязанская область
04 				Код региона Республика Алтай
63 163 				Код региона Самарская область
05 				Код региона Республика Дагестан
64 164 				Код региона Саратовская область
06 				Код региона Республика Ингушетия
65 				Код региона Сахалинская область
07 				Код региона Кабардино-Балкарская Республика
66 96 				Код региона Свердловская область
08 				Код региона Республика Калмыкия
67 				Код региона Смоленская область
09 				Код региона Карачаево-Черкесская Республика
68 				Код региона Тамбовская область
10 				Код региона Республика Карелия
69 				Код региона Тверская область
11 				Код региона Республика Коми
70 				Код региона Томская область
12 				Код региона Республика Марий Эл
71 				Код региона Тульская область
13 				Код региона Республика Мордовия
72 				Код региона Тюменская область
14 				Код региона Республика Саха (Якутия)
73 173 				Код региона Ульяновская область
15 				Код региона Республика Северная Осетия
74 174 				Код региона Челябинская область
16 116 				Код региона Республика Татарстан
75 				Код региона Читинская область
17 				Код региона Республика Тыва (Тува)
76 				Код региона Ярославская область
18 118 				Код региона Удмуртская Республика
77 97 99 177 197 199 		Код региона г. Москва
19 				Код региона Республика Хакасия
78 98 				Код региона г. Санкт-Петербург
20 				Код региона Чеченская Республика (старые номера)
79 				Код региона Еврейская автономная область
21 121 				Код региона Чувашская Республика
80 				Код региона Агинский Бурятский автономный округ
22 				Код региона Алтайский край
81 				Код региона Коми-Пермяцкий автономный округ
23 93 				Код региона Краснодарский край
82 				Код региона Корякский автономный округ
24 				Код региона Красноярский край
83 				Код региона Ненецкий автономный округ
25 125 				Код региона Приморский край
84 				Код региона Таймырский автономный округ
26 				Код региона Ставропольский край
85 				Код региона Усть-Ордынский Бурятский автономный округ
27 				Код региона Хабаровский край
86 				Код региона Ханты-Мансийский автономный округ
28 				Код региона Амурская область
87 				Код региона Чукотский автономный округ
29 				Код региона Архангельская область
88 				Код региона Эвенкийский автономный округ
30 				Код региона Астраханская область
89 				Код региона Ямало-Ненецкий автономный округ
31 				Код региона Белгородская область
90 50 150 190 			Код региона Московская область
32 				Код региона Брянская область
91 92 				Код региона Резерв МВД России
33 				Код региона Владимирская область
93 23 				Код региона Краснодарский край
34 				Код региона Волгоградская область
94 				Код региона территорий, находящихся за пределами РФ
35 				Код региона Вологодская область
36 				Код региона Воронежская область
95 				Код региона Чеченская Республика (новые номера)
37 				Код региона Ивановская область
96 66 				Код региона Свердловская область
38 138 				Код региона Иркутская область
97 77 99 177 197 19		Код региона г. Москва
39 				Код региона Калининградская область
98 78				Код региона г. Санкт-Петербург
40 				Код региона Калужская область
99 77, 97, 177, 197, 199	Код региона г. Москва
41 				Код региона Камчатская область
102 02				Код региона Республика Башкортостан
42 				Код региона Кемеровская область
116 16 				Код региона Республика Татарстан
43 				Код региона Кировская область
118 18				Код региона Удмуртская Республика
44 				Код региона Костромская область
121 21				Код региона Чувашская Республика
45 				Код региона Курганская область
125 25 				Код региона Приморский край
46 				Код региона Курская область
138 38				Код региона Иркутская область
47 				Код региона Ленинградская область
150 50, 90, 190			Код региона Московская область
48 				Код региона Липецкая область
152 52				Код региона Нижегородская область
49 				Код региона Магаданская область
154 54				Код региона Новосибирская область
50 50, 90, 150, 190		Код региона Московская область
159 59				Код региона Пермская область
51 				Код региона Мурманская область
161 61				Код региона Ростовская область
52 152				Код региона Нижегородская область
163 63 				Код региона Самарская область
53 				Код региона Новгородская область
164 64				Код региона Саратовская область
54 154 				Код региона Новосибирская область
173 73				Код региона Ульяновская область
55 				Код региона Омская область
174 74 				Код региона Челябинская область
56 				Код региона Оренбургская область
177 77, 97, 99, 197, 199 	Код региона г. Москва
57 				Код региона Орловская область
190 50, 90, 150			Код региона Московская область
58 				Код региона Пензенская область
197 77, 97, 99, 177, 199	Код региона г. Москва


59 159 				Код региона Пермская область
199 77, 97, 99, 177, 197	Код региона г. Москва
